strategy,amount_exact,amount_total,mae,median_abs_error,max_abs_error,earliest_exact,earliest_total
CURRENT_MEDIAN_5,2,25,171042.29400000002,737.0,2024172.9800000004,18,25
MEAN_3,2,25,176505.37560000006,737.0,2166111.3499999996,18,25
MEAN_5,2,25,176602.25999999992,408.6999999999971,2195745.6999999993,18,25
MEDIAN_8,2,25,180960.77119999996,737.0,2060167.5700000003,18,25
MEAN_8,2,25,182105.26,669.1499999999942,2169966.1099999994,18,25
MEDIAN_3,2,25,188460.53039999996,436.3899999999994,2207634.5299999993,19,25
LATEST,2,25,195350.72520000007,646.8999999999996,1882112.7799999993,18,25
