request_id,current_abs_error,current_amount_exact,current_earliest_exact,variant_abs_error,variant_amount_exact,variant_earliest_exact,error_improvement,classification,strategy
request_08,11.639999999999986,False,False,2.5,False,False,9.139999999999986,IMPROVED,MEAN_3
request_09,148.62,False,False,166.61,False,False,-17.99000000000001,REGRESSED,MEAN_3
request_10,12700.0,False,True,12700.0,False,True,0.0,UNCHANGED,MEAN_3
request_11,283575.6699999999,False,False,99560.65000000037,False,False,184015.01999999955,IMPROVED,MEAN_3
request_12,8182.059999999998,False,False,5548.279999999999,False,False,2633.779999999999,IMPROVED,MEAN_3
request_13,136.90999999999997,False,False,135.07000000000005,False,False,1.8399999999999181,IMPROVED,MEAN_3
request_14,28.720000000000027,False,True,21.279999999999973,False,True,7.440000000000055,IMPROVED,MEAN_3
request_15,80.53,False,True,68.89,False,True,11.64,IMPROVED,MEAN_3
request_16,0.0,True,True,0.0,True,True,0.0,UNCHANGED,MEAN_3
request_17,5470.819999999978,False,False,40799.0,False,False,-35328.18000000002,REGRESSED,MEAN_3
request_18,94.26999999999998,False,True,71.39999999999998,False,True,22.870000000000005,IMPROVED,MEAN_3
request_19,1501.9900000000016,False,True,2701.3899999999994,False,True,-1199.3999999999978,REGRESSED,MEAN_3
request_20,2960.4799999999996,False,True,2884.379999999999,False,True,76.10000000000036,IMPROVED,MEAN_3
request_21,31.050000000000182,False,False,31.050000000000182,False,False,0.0,UNCHANGED,MEAN_3
request_22,10.109999999999957,False,True,7.9599999999999795,False,True,2.1499999999999773,IMPROVED,MEAN_3
request_23,979.8700000000008,False,True,1033.3899999999994,False,True,-53.51999999999862,REGRESSED,MEAN_3
request_24,268.5699999999997,False,True,290.5599999999995,False,True,-21.98999999999978,REGRESSED,MEAN_3
request_25,1233972.88,False,True,1070542.06,False,True,163430.81999999983,IMPROVED,MEAN_3
request_01,0.0,True,True,0.0,True,True,0.0,UNCHANGED,MEAN_5
request_02,655320.9800000004,False,True,840445.6799999997,False,True,-185124.69999999925,REGRESSED,MEAN_5
request_03,44826.06999999995,False,True,69483.14000000001,False,True,-24657.070000000065,REGRESSED,MEAN_5
request_04,2024172.9800000004,False,True,2195745.6999999993,False,True,-171572.7199999988,REGRESSED,MEAN_5
request_05,737.0,False,True,737.0,False,True,0.0,UNCHANGED,MEAN_5
request_06,78.46999999999991,False,True,78.75,False,True,-0.2800000000000864,REGRESSED,MEAN_5
request_07,767.6600000000035,False,True,408.6999999999971,False,True,358.9600000000064,IMPROVED,MEAN_5
request_08,11.639999999999986,False,False,4.759999999999991,False,False,6.8799999999999955,IMPROVED,MEAN_5
request_09,148.62,False,False,144.38000000000002,False,False,4.239999999999981,IMPROVED,MEAN_5
request_10,12700.0,False,True,12700.0,False,True,0.0,UNCHANGED,MEAN_5
request_11,283575.6699999999,False,False,132039.84999999963,False,False,151535.8200000003,IMPROVED,MEAN_5
request_12,8182.059999999998,False,False,6916.300000000003,False,False,1265.7599999999948,IMPROVED,MEAN_5
request_13,136.90999999999997,False,False,175.14999999999998,False,False,-38.24000000000001,REGRESSED,MEAN_5
request_14,28.720000000000027,False,True,17.559999999999945,False,True,11.160000000000082,IMPROVED,MEAN_5
request_15,80.53,False,True,78.35,False,True,2.180000000000007,IMPROVED,MEAN_5
request_16,0.0,True,True,0.0,True,True,0.0,UNCHANGED,MEAN_5
request_17,5470.819999999978,False,False,14785.779999999999,False,False,-9314.960000000021,REGRESSED,MEAN_5
request_18,94.26999999999998,False,True,85.75999999999999,False,True,8.509999999999991,IMPROVED,MEAN_5
request_19,1501.9900000000016,False,True,1452.869999999999,False,True,49.12000000000262,IMPROVED,MEAN_5
request_20,2960.4799999999996,False,True,3189.2000000000007,False,True,-228.72000000000116,REGRESSED,MEAN_5
request_21,31.050000000000182,False,False,31.050000000000182,False,False,0.0,UNCHANGED,MEAN_5
request_22,10.109999999999957,False,True,11.620000000000005,False,True,-1.5100000000000477,REGRESSED,MEAN_5
request_23,979.8700000000008,False,True,941.3999999999996,False,True,38.470000000001164,IMPROVED,MEAN_5
request_24,268.5699999999997,False,True,179.64999999999964,False,True,88.92000000000007,IMPROVED,MEAN_5
request_25,1233972.88,False,True,1135403.85,False,True,98569.0299999998,IMPROVED,MEAN_5
request_01,0.0,True,True,0.0,True,True,0.0,UNCHANGED,MEDIAN_8
request_02,655320.9800000004,False,True,745556.7699999996,False,True,-90235.7899999991,REGRESSED,MEDIAN_8
request_03,44826.06999999995,False,True,91306.92000000004,False,True,-46480.85000000009,REGRESSED,MEDIAN_8
request_04,2024172.9800000004,False,True,2060167.5700000003,False,True,-35994.58999999985,REGRESSED,MEDIAN_8
request_05,737.0,False,True,737.0,False,True,0.0,UNCHANGED,MEDIAN_8
request_06,78.46999999999991,False,True,79.29999999999995,False,True,-0.8300000000000409,REGRESSED,MEDIAN_8
request_07,767.6600000000035,False,True,1417.929999999993,False,True,-650.2699999999895,REGRESSED,MEDIAN_8
request_08,11.639999999999986,False,False,9.110000000000014,False,False,2.5299999999999727,IMPROVED,MEDIAN_8
request_09,148.62,False,False,160.94000000000003,False,False,-12.320000000000022,REGRESSED,MEDIAN_8
request_10,12700.0,False,True,12700.0,False,True,0.0,UNCHANGED,MEDIAN_8
request_11,283575.6699999999,False,False,381350.27999999933,False,False,-97774.6099999994,REGRESSED,MEDIAN_8
request_12,8182.059999999998,False,False,4829.8499999999985,False,False,3352.209999999999,IMPROVED,MEDIAN_8
request_13,136.90999999999997,False,False,107.26999999999998,False,False,29.639999999999986,IMPROVED,MEDIAN_8
request_14,28.720000000000027,False,True,28.149999999999977,False,True,0.57000000000005,IMPROVED,MEDIAN_8
request_15,80.53,False,True,65.35,False,True,15.180000000000007,IMPROVED,MEDIAN_8
request_16,0.0,True,True,0.0,True,True,0.0,UNCHANGED,MEDIAN_8
request_17,5470.819999999978,False,False,1406.1899999999732,False,False,4064.6300000000047,IMPROVED,MEDIAN_8
request_18,94.26999999999998,False,True,90.46000000000004,False,True,3.8099999999999454,IMPROVED,MEDIAN_8
request_19,1501.9900000000016,False,True,1676.1699999999983,False,True,-174.17999999999665,REGRESSED,MEDIAN_8
request_20,2960.4799999999996,False,True,3243.58,False,True,-283.10000000000036,REGRESSED,MEDIAN_8
request_21,31.050000000000182,False,False,31.050000000000182,False,False,0.0,UNCHANGED,MEDIAN_8
request_22,10.109999999999957,False,True,14.310000000000002,False,True,-4.2000000000000455,REGRESSED,MEDIAN_8
request_23,979.8700000000008,False,True,816.3299999999999,False,True,163.54000000000087,IMPROVED,MEDIAN_8
request_24,268.5699999999997,False,True,269.7099999999991,False,True,-1.139999999999418,REGRESSED,MEDIAN_8
request_25,1233972.88,False,True,1217955.04,False,True,16017.839999999851,IMPROVED,MEDIAN_8
request_01,0.0,True,True,0.0,True,True,0.0,UNCHANGED,MEAN_8
request_02,655320.9800000004,False,True,906299.4400000013,False,True,-250978.4600000009,REGRESSED,MEAN_8
request_03,44826.06999999995,False,True,95564.55000000005,False,True,-50738.4800000001,REGRESSED,MEAN_8
request_04,2024172.9800000004,False,True,2169966.1099999994,False,True,-145793.12999999896,REGRESSED,MEAN_8
request_05,737.0,False,True,737.0,False,True,0.0,UNCHANGED,MEAN_8
request_06,78.46999999999991,False,True,79.79999999999995,False,True,-1.330000000000041,REGRESSED,MEAN_8
request_07,767.6600000000035,False,True,669.1499999999942,False,True,98.51000000000931,IMPROVED,MEAN_8
request_08,11.639999999999986,False,False,5.560000000000002,False,False,6.079999999999984,IMPROVED,MEAN_8
request_09,148.62,False,False,144.22000000000003,False,False,4.399999999999977,IMPROVED,MEAN_8
request_10,12700.0,False,True,12700.0,False,True,0.0,UNCHANGED,MEAN_8
request_11,283575.6699999999,False,False,266925.5700000003,False,False,16650.099999999627,IMPROVED,MEAN_8
request_12,8182.059999999998,False,False,4368.260000000002,False,False,3813.7999999999956,IMPROVED,MEAN_8
request_13,136.90999999999997,False,False,83.39999999999998,False,False,53.50999999999999,IMPROVED,MEAN_8
request_14,28.720000000000027,False,True,15.899999999999977,False,True,12.82000000000005,IMPROVED,MEAN_8
request_15,80.53,False,True,72.12,False,True,8.409999999999997,IMPROVED,MEAN_8
request_16,0.0,True,True,0.0,True,True,0.0,UNCHANGED,MEAN_8
request_17,5470.819999999978,False,False,9518.359999999986,False,False,-4047.540000000008,REGRESSED,MEAN_8
request_18,94.26999999999998,False,True,82.87,False,True,11.399999999999977,IMPROVED,MEAN_8
request_19,1501.9900000000016,False,True,1530.0900000000001,False,True,-28.099999999998545,REGRESSED,MEAN_8
request_20,2960.4799999999996,False,True,3307.540000000001,False,True,-347.0600000000013,REGRESSED,MEAN_8
request_21,31.050000000000182,False,False,31.050000000000182,False,False,0.0,UNCHANGED,MEAN_8
request_22,10.109999999999957,False,True,12.279999999999973,False,True,-2.170000000000016,REGRESSED,MEAN_8
request_23,979.8700000000008,False,True,812.8700000000008,False,True,167.0,IMPROVED,MEAN_8
request_24,268.5699999999997,False,True,312.47999999999956,False,True,-43.909999999999854,REGRESSED,MEAN_8
request_25,1233972.88,False,True,1079392.88,False,True,154580.0,IMPROVED,MEAN_8
